" is out of stock!"," не е налично!"
"404 Page Not Found","404 Страницата не е намерена"
"Account data has successfully been updated","Данните на профила бяха обновени успешно"
"Add review","Сподели своето мнение"
"Adding a review ...","Добавяне на отзив ..."
"The address provided in checkout contains invalid data. Please check if all required fields are filled in and also contact us on {email} to resolve this issue for future. Your order has been canceled.","Адресът, предоставен при плащане, съдържа невалидни данни. Моля, проверете дали всички задължителни полета са попълнени и също така се свържете с нас на {имейл}, за да разрешите този проблем за вбъдеще. Поръчката ви е анулирана."
"Enable order notification","Активиране на известия за поръчката"
"Are you sure you would like to remove this item from the shopping cart?","Сигурни ли сте, че искате да премахнете този продукт от количката?"
"Checkout","Плащане"
"Columns","Колони"
"Language","Език"
"Compare Products","Сравнете продуктите"
"Error refreshing user token. User is not authorized to access the resource","Грешка при обновяване на потребителския токен. Потребителят няма право на достъп до ресурса"
"Error with response - bad content-type!","Грешка с отговор - лош тип съдържание!"
"Error: Error while adding products","Грешка: Грешка при добавяне на продукти"
"Field is required","Задължително поле"
"The field is required.","Задължително поле."
"Grand total","Общо"
"Home Page","Начална страница"
"In stock!","В наличност!"
"Internal Application error while refreshing the tokens. Please clear the storage and refresh page.","Вътрешна грешка в приложението при обновяване на токените. Моля, изчистете хранилището и презаредете страницата."
"Internal validation error. Please check if all required fields are filled in. Please contact us on {email}","Вътрешна грешка при валидиране. Моля, проверете дали всички задължителни полета са попълнени. Моля, свържете се с нас на {email}"
"Must be greater than 0","Трябва да е по-голямо от 0""
"Newsletter preferences have successfully been updated","Предпочитанията за бюлетин бяха обновени успешно"
"No available product variants","Няма налични варианти на продукта"
"No products synced for this category. Please come back while online!","В тази категория не сe синхронизираха продукти. Моля, върнете се когато сте онлайн!"
"No such configuration for the product. Please do choose another combination of attributes.","Няма такава конфигурация за продукта. Моля, изберете друга комбинация от атрибути."
"OK","Добре"
"Only {maxQuantity} products of this type are available!","Предлагат се само {maxQuantity} продукти от този тип!"
"Or if you will stay on the "Order Confirmation" page, the order will be placed automatically, once the internet connection is back.","Или ако останете на страницата „Потвърждение на поръчката“, поръчката ще бъде направена автоматично без потвърждение, след като връзката с интернет се върне."
"Out of stock!","Не е налично!"
"Out of the stock!","Не е налично!"
"Payment Information","Информация за плащане"
"Please configure product bundle options and fix the validation errors","Моля, конфигурирайте опциите за пакет продукти и поправете грешките при валидиране"
"Please configure custom product options and fix the validation errors","Моля, конфигурирайте персонализираните опции на продукта и коригирайте грешките при валидиране"
"Please fix the validation errors","Моля, поправете грешките при валидиране"
"Please select the field which You like to sort by","Моля, изберете полето, по което искате да сортирате"
"Please wait ...","Моля, Изчакайте ..."
"Proceed to checkout","Доставка"
"Processing order...","Поръчката се обработва ..."
"The product has been added to Cart!","Продуктът е добавен в кошницата!"
"The product price is unknown and cannot be added to Cart!","Цената на продукта е неизвестна и той не може бъде добавен в кошницата!"
"The product quantity has been updated!","Продуктът е добавен!"
"Product {productName} has been added to Compare!","Продуктът {productName} е добавен за сравнение!"
"Product {productName} has been added to Wishlist!","Продуктът {productName} е добавен към списъка с желания!"
"Product {productName} has been removed from Compare!","Продуктът {productName} е премахнат от сравнението!"
"Product {productName} has been removed from Wishlist!","Продуктът {productName} е премахнат от списъка с желания!"
"Quantity available offline","Количество (офлайн режим)"
"Quantity available","Количество ({qty} налични)"
"Quantity must be above 0","Количеството трябва да е над 0"
"Quantity must be below {quantity}","Количеството трябва да бъде под {количество}"
"Quantity must be positive integer","Количеството трябва да е положително цяло число"
"Registering the account ...","Регистриране на акаунта ..."
"The reset password feature does not work while offline!","Функцията за нулиране на паролата не работи, докато сте офлайн!"
"Review","Коментар"
"Reviews","Мнения"
"Select 0","Изберете 0"
"Select 1","Изберете 1"
"Shopping cart is empty. Please add some products before entering Checkout","Количката е празна. Моля, добавете продукти, преди да влезете в Плащане"
"Some of the ordered products are not available!","Някои от поръчаните продукти не са налични!"
"Please wait while we check for available stock quantities","Моля, изчакайте, докато проверим наличните количества"
"Subtotal incl. tax","Междинна сума вкл. данък"
"Summary","Обобщение"
"The product is out of stock and cannot be added to Cart!","Продуктът е изчерпан и не може да бъде добавен в кошницата!"
"The product, category, or CMS page is not available in Offline mode. Redirecting to Home.","Продуктът, категорията или CMS страницата не са достъпни в офлайн режим. Пренасочване към Начало."
"The system is not sure about the stock quantity (volatile). Product has been added to Cart for pre-reservation.","Системата не е сигурна за наличното количество (променливо). Продуктът е добавен в кошницата за предварителна резервация."
"We are sorry, there is no Internet connection. You can still place your order. We will notify you when we are back online if any of the ordered products are out of stock.","Съжаляваме, нямаме връзка с интернет. Все още можете да направите поръчката си. В момента не можем да проверим дали някой от поръчаните продукти е изчерпан. Ще ви уведомим при първа възможност!"
"This feature is not implemented yet!","Тази функция все още не е активна!"
"Thumbnail","Умалено изображение"
"What are you looking for?","Какво търсите?"
"Unexpected authorization error. Check your Network conection.","Неочаквана грешка в авторизацията. Проверете мрежовото си свързване."
"Unhandled error, wrong response format!","Неоправена грешка, грешен формат на отговора!"
"Vue Storefront"," Mагазин"
"You are going to pay for this order upon delivery.","Ще платите за тази поръчка при доставка."
"You are logged in!","Влезли сте!"
"You are to pay for this order upon delivery.","Вие трябва да платите за тази поръчка при доставка."
"You need to be logged in to see this page","За да видите тази страница, трябва да сте влезли в профила си."
"You submitted your review for moderation.","Изпратихте отзива си за модериране."
"You're logged out","Излезли сте"
"email","електронна поща"
"login","Влизане"
"not authorized","неоторизиран"
"password","парола"
"to account","към профила"
